,Rank,Institution,Location,Continent,Founded,Affiliation,Delivery_Method,Enrollment,Link,location_city,location_country,updated_year
17,18,University of the Punjab,"Lahore, Punjab, Pakistan",Asia,1882,Public,In-Person,450000,https://en.wikipedia.org/wiki/University_of_the_Punjab,"Lahore, Punjab",Pakistan,2025
18,19,Dr. B R Ambedkar Open University,"Telangana, India",Asia,1982,Public,Distance,450000,https://en.wikipedia.org/wiki/Andhra_Pradesh_Open_University,Telangana,India,2025
19,20,State University System of Florida,"Florida, United States",North America,1954,Public,In-Person,430000,https://en.wikipedia.org/wiki/State_University_System_of_Florida,Florida,United States,2025
20,21,University System of Ohio,"Ohio, United States",North America,2007,Public,In-Person,429310,https://en.wikipedia.org/wiki/University_System_of_Ohio,Ohio,United States,2025
21,22,University of Delhi,"Delhi, India",Asia,1922,Public,In-Person/Distance,700000,https://en.wikipedia.org/wiki/University_of_Delhi,Delhi,India,2025
22,23,Payame Noor University,Iran,Asia,1987,Public,Distance/In-Person,400000,https://en.wikipedia.org/wiki/Payame_Noor_University,Not Available,Iran,2025
23,24,Sikkim Manipal University,"Sikkim, India",Asia,1995,Private,In-Person,390000,https://en.wikipedia.org/wiki/Sikkim_Manipal_University,Sikkim,India,2025
24,25,University of South Africa,"Pretoria, Gauteng, South Africa",Africa,1873,Public,Distance,370000,https://en.wikipedia.org/wiki/University_of_South_Africa,"Pretoria, Gauteng",South Africa,2025
25,26,State University of New York system,"New York, United States",North America,1948,Public,In-Person,363612,https://en.wikipedia.org/wiki/State_University_of_New_York,New York,United States,2025
26,27,National Autonomous University of Mexico,"Mexico City, Mexico",North America,1551,Public,In-Person,356530,https://en.wikipedia.org/wiki/National_Autonomous_University_of_Mexico,Mexico City,Mexico,2025
27,28,National Centre for Distance Education,France,Europe,1939,Public,Distance,350000,https://en.wikipedia.org/wiki/Centre_national_d%27enseignement_%C3%A0_distance,Not Available,France,2025
28,29,University System of Georgia,"Georgia, United States",North America,1931,Public,In-Person,318027,https://en.wikipedia.org/wiki/University_System_of_Georgia,Georgia,United States,2025
29,30,University of Buenos Aires,"Buenos Aires, Argentina",South America,1821,Public,In-Person,316050,https://en.wikipedia.org/wiki/University_of_Buenos_Aires,Buenos Aires,Argentina,2025
30,30,Minnesota State Colleges and Universities,"Minnesota, United States",North America,1995,Public,In-Person,300000,https://en.wikipedia.org/wiki/Minnesota_State_Colleges_and_Universities,Minnesota,United States,2025
31,31,Osmania University,"Hyderabad, Telangana, India",Asia,1918,Public,In-Person,300000,https://en.wikipedia.org/wiki/Osmania_University,"Hyderabad, Telangana",India,2025
32,32,National University of Distance Education,Spain,Europe,1972,Public,Distance/In-Person,260079,https://en.wikipedia.org/wiki/National_University_of_Distance_Education,Not Available,Spain,2025
33,33,Rajiv Gandhi Technical University,"Bhopal, Madhya Pradesh, India",Asia,1998,Public,In-Person,260000,https://en.wikipedia.org/wiki/Rajiv_Gandhi_Technical_University,"Bhopal, Madhya Pradesh",India,2025
34,34,Cairo University,"Giza, Egypt",Africa,1908,Public,In-Person,257200,https://en.wikipedia.org/wiki/Cairo_University,Giza,Egypt,2025
35,35,University of California system,"California, United States",North America,1869,Public,In-Person,256000,https://en.wikipedia.org/wiki/University_of_California,California,United States,2025
36,36,City University of New York,"New York, United States",North America,1961,Public,In-Person,243000,https://en.wikipedia.org/wiki/City_University_of_New_York,New York,United States,2025
37,37,University of North Carolina system,"North Carolina, United States",North America,1789,Public,In-Person,242000,https://en.wikipedia.org/wiki/University_of_North_Carolina,North Carolina,United States,2025
